Count,Name,Edition,Card Number,Foil,discordid
1,Aarakocra Sneak,Commander Legends: Battle for Baldur's Gate,54,,78717168631427072
1,Abandon the Post,Innistrad: Midnight Hunt,127,,78717168631427072
1,Abattoir Ghoul,Innistrad,85,,78717168631427072
1,Abbey Griffin,Innistrad,1,,78717168631427072
3,Abiding Grace,Modern Horizons 2,1,,78717168631427072
3,Abrade,Double Masters,114,,78717168631427072
1,Abrade,,139,,78717168631427072
1,Abundant Harvest,Strixhaven Mystical Archive,48,,78717168631427072
3,Abundant Harvest,Modern Horizons 2,147,,78717168631427072
4,Abundant Harvest,,354,,78717168631427072
