Count,Name,Edition,Card Number,Foil
1,Academy Wall,Dominaria United,41,
2,Adarkar Wastes,Dominaria United,377,foil
3,Anointed Peacekeeper,Dominaria United,2,
4,"Aron, Benalia's Ruin",Dominaria United,193,
5,"Aron, Benalia's Ruin",Dominaria United,292,
6,"Baird, Argivian Recruiter",Dominaria United,195,
7,Balduvian Berserker,Dominaria United,116,
8,"Balmor, Battlemage Captain",Dominaria United,196,
9,"Balmor, Battlemage Captain",Dominaria United,295,
10,Battle-Rage Blessing,Dominaria United,80,
11,Battlefly Swarm,Dominaria United,81,
12,Battlewing Mystic,Dominaria United,43,
13,Benalish Faithbonder,Dominaria United,7,
14,Benalish Sleeper,Dominaria United,8,
15,Benediction of Moons,The List,578,
16,Bite Down,Dominaria United,155,
17,Blight Pile,Dominaria United,82,
18,Blood Crypt,The List,650,
19,Bone Splinters,Dominaria United,83,foil
20,Bortuk Bonerattle,Dominaria United,296,
21,Broken Wings,Dominaria United,157,
22,Captain's Call,Dominaria United,9,
23,Caves of Koilos,Dominaria United,244,
24,Chaotic Transformation,Dominaria United,117,
25,Charismatic Vanguard,Dominaria United,10,
26,Choking Miasma,Dominaria United,86,
27,Citizen's Arrest,Dominaria United,11,
28,Clockwork Drawbridge,Dominaria United,13,
29,Coalition Skyknight,Dominaria United,14,
30,Combat Research,Dominaria United,44,
31,Coral Colony,Dominaria United,45,
32,Cosmic Epiphany,Dominaria United,283,
33,Cult Conscript,Dominaria United,88,
34,Deathbloom Gardener,Dominaria United,159,
35,Defiler of Dreams,Dominaria United,46,
36,Destroy Evil,Dominaria United,17,
37,Djinn of the Fountain,Dominaria United,47,
38,Dragon Whelp,Dominaria United,120,
39,Eerie Soultender,Dominaria United,92,
40,"Elas il-Kor, Sadistic Pilgrim",Dominaria United,198,
41,Electrostatic Infantry,Dominaria United,122,
42,Elfhame Wurm,Dominaria United,161,
43,Emperor Mihail II,Dominaria United Commander,23,
44,Essence Scatter,Dominaria United,49,
45,Fires of Victory,Dominaria United,123,
46,Floriferous Vinewall,Dominaria United,163,
47,Flowstone Infusion,Dominaria United,124,
48,Founding the Third Path,Dominaria United,50,
49,Frostfist Strider,Dominaria United,51,
50,Furious Bellow,Dominaria United,126,foil
51,"Garna, Bloodfist of Keld",Dominaria United,299,
52,Ghitu Amplifier,Dominaria United,127,
53,Gibbering Barricade,Dominaria United,95,
54,Griffin Protector,Dominaria United,18,
55,Haughty Djinn,Dominaria United,52,
56,Haunting Figment,Dominaria United,53,
57,Heroic Charge,Dominaria United,20,
58,Historian's Boon,Dominaria United Commander,21,
59,Howling Mine,The List,641,
60,Hurler Cyclops,Dominaria United,130,
61,Hurloon Battle Hymn,Dominaria United,131,
62,Impede Momentum,Dominaria United,54,
63,Impede Momentum,Dominaria United,54,foil
64,Inscribed Tablet,Dominaria United,232,
65,"Jhoira, Ageless Innovator",Dominaria United,202,
66,Juniper Order Rootweaver,Dominaria United,22,
67,Keldon Strike Team,Dominaria United,136,
68,Knight of Dawn's Light,Dominaria United,23,
69,Knight of Dusk's Shadow,Dominaria United,96,
70,"Lagomos, Hand of Hatred",Dominaria United,205,
71,"Lagomos, Hand of Hatred",Dominaria United,304,
72,"Linvala, Shield of Sea Gate",The List,794,
73,Love Song of Night and Day,Dominaria United,25,
74,"Meria, Scholar of Antiquity",Dominaria United,206,
75,Molten Monstrosity,Dominaria United,139,
76,Mossbeard Ancient,Dominaria United,173,
77,"Nael, Avizoa Aeronaut",Dominaria United,207,
78,"Nael, Avizoa Aeronaut",Dominaria United,306,
79,"Najal, the Storm Runner",Dominaria United,208,
80,"Najal, the Storm Runner",Dominaria United,307,
81,Negate,Dominaria United,58,
82,Negate,Dominaria United,58,foil
83,Nishoba Brawler,Dominaria United,174,
84,Phoenix Chick,Dominaria United,140,
85,Phyrexian Espionage,Dominaria United,60,
86,Phyrexian Espionage,Dominaria United,60,foil
87,Phyrexian Rager,Dominaria United,99,
88,Phyrexian Vivisector,Dominaria United,100,
89,Phyrexian Vivisector,Dominaria United,100,foil
90,Protect the Negotiators,Dominaria United,62,
91,Queen Allenal of Ruadach,Dominaria United,309,
92,"Radha, Coalition Warlord",Dominaria United,310,
93,"Raff, Weatherlight Stalwart",Dominaria United,311,
94,"Rith, Liberated Primeval",Dominaria United,214,
95,"Rulik Mons, Warren Chief",Dominaria United,217,
96,"Rulik Mons, Warren Chief",Dominaria United,316,
97,Samite Herbalist,Dominaria United,31,
98,Scout the Wilderness,Dominaria United,176,
99,Shield-Wall Sentinel,Dominaria United,238,
100,Silverback Elder,Dominaria United,177,
101,Slimefoot's Survey,Dominaria United,178,
102,Smash to Dust,Dominaria United,144,
103,Soaring Drake,Dominaria United,66,
104,Soaring Drake,Dominaria United,66,foil
105,Sprouting Goblin,Dominaria United,145,
106,Stall for Time,Dominaria United,34,
107,Stall for Time,Dominaria United,34,foil
108,"Stenn, Paranoid Partisan",Dominaria United,221,
109,Stone Haven Pilgrim,The List,662,
110,Strength of the Coalition,Dominaria United,180,
111,Sunbathing Rootwalla,Dominaria United,181,
112,Sunbathing Rootwalla,Dominaria United,181,foil
113,Tattered Apparition,Dominaria United,111,
114,Tattered Apparition,Dominaria United,111,foil
115,"Tatyova, Steward of Tides",Dominaria United,222,
