Count,Name,Edition,Card Number,Foil
2,Armory Veteran,Adventures in the Forgotten Realms,130,
1,Asmodeus the Archfiend,Adventures in the Forgotten Realms,88,
1,Baleful Beholder,Adventures in the Forgotten Realms,89,
1,Bulette,Adventures in the Forgotten Realms,324,
4,Bull's Strength,Adventures in the Forgotten Realms,174,
1,Celestial Unicorn,Adventures in the Forgotten Realms,5,
2,Charmed Sleep,Adventures in the Forgotten Realms,50,
1,Choose Your Weapon,Adventures in the Forgotten Realms,175,
1,Critical Hit,Adventures in the Forgotten Realms,137,
2,Dawnbringer Cleric,Adventures in the Forgotten Realms,9,
2,Deadly Dispute,Adventures in the Forgotten Realms,94,
1,Den of the Bugbear,Adventures in the Forgotten Realms,254,
2,Devour Intellect,Adventures in the Forgotten Realms,97,
1,Dire Wolf Prowler,Adventures in the Forgotten Realms,179,
1,Djinni Windseer,Adventures in the Forgotten Realms,55,
1,Drider,Adventures in the Forgotten Realms,98,
2,Dueling Rapier,Adventures in the Forgotten Realms,140,
1,Dungeon Map,Adventures in the Forgotten Realms,242,
2,Earth-Cult Elemental,Adventures in the Forgotten Realms,141,
1,Evolving Wilds,Adventures in the Forgotten Realms,353,
1,Eyes of the Beholder,Adventures in the Forgotten Realms,101,
2,Farideh's Fireball,Adventures in the Forgotten Realms,142,
1,Feywild Trickster,Adventures in the Forgotten Realms,58,
1,Flumph,Adventures in the Forgotten Realms,15,
1,Froghemoth,Adventures in the Forgotten Realms,184,
1,Goblin Morningstar,Adventures in the Forgotten Realms,145,
2,Greataxe,Adventures in the Forgotten Realms,245,
1,Green Dragon,Adventures in the Forgotten Realms,186,
1,Grim Wanderer,Adventures in the Forgotten Realms,107,
2,Hired Hexblade,Adventures in the Forgotten Realms,109,
1,Hunter's Mark,Adventures in the Forgotten Realms,188,
1,Ingenious Smith,Adventures in the Forgotten Realms,21,
1,Jaded Sell-Sword,Adventures in the Forgotten Realms,152,
1,Krydle of Baldur's Gate,Adventures in the Forgotten Realms,226,
2,Mimic,Adventures in the Forgotten Realms,249,
1,Monk of the Open Hand,Adventures in the Forgotten Realms,25,
1,Moon-Blessed Cleric,Adventures in the Forgotten Realms,26,
1,"Nadaar, Selfless Paladin",Adventures in the Forgotten Realms,303,
1,Orb of Dragonkind,Adventures in the Forgotten Realms,157,
1,Owlbear,Adventures in the Forgotten Realms,198,
2,Potion of Healing,Adventures in the Forgotten Realms,34,
1,"Shessra, Death's Whisper",Adventures in the Forgotten Realms,231,
4,Shortcut Seeker,Adventures in the Forgotten Realms,73,
2,Silver Raven,Adventures in the Forgotten Realms,74,
1,Spiked Pit Trap,Adventures in the Forgotten Realms,251,
1,Sudden Insight,Adventures in the Forgotten Realms,77,
4,Sylvan Shepherd,Adventures in the Forgotten Realms,206,
1,Trickster's Talisman,Adventures in the Forgotten Realms,79,
4,Veteran Dungeoneer,Adventures in the Forgotten Realms,40,
1,Warlock Class,Adventures in the Forgotten Realms,125,
1,Wild Shape,Adventures in the Forgotten Realms,212,
1,Wizard's Spellbook,Adventures in the Forgotten Realms,82,
2,You Come to a River,Adventures in the Forgotten Realms,83,
2,You Find a Cursed Idol,Adventures in the Forgotten Realms,213,
1,You Hear Something on Watch,Adventures in the Forgotten Realms,42,
1,"Zariel, Archduke of Avernus",Adventures in the Forgotten Realms,285,foil
1,Zombie Ogre,Adventures in the Forgotten Realms,129,
2,Aethersphere Harvester,Aether Revolt,142,
4,Heart of Kiran,Aether Revolt,153,
4,Spire of Industry,Aether Revolt,184,
1,Angel of Sanctions,Amonkhet,1,
1,Cartouche of Strength,Amonkhet,158,
1,Cast Out,Amonkhet,8,
1,Colossapede,Amonkhet,161,
1,Desert Cerodon,Amonkhet,128,
1,Devoted Crop-Mate,Amonkhet,10,
1,Djeru's Resolve,Amonkhet,11,
1,Doomed Dissenter,Amonkhet,87,
1,Essence Scatter,Amonkhet,52,
2,Evolving Wilds,Amonkhet,242,
1,Forsake the Worldly,Amonkhet,13,
1,Gravedigger,Amonkhet,93,
3,Harsh Mentor,Amonkhet,135,
1,Hekma Sentinels,Amonkhet,56,
1,Hooded Brawler,Amonkhet,173,
1,Hyena Pack,Amonkhet,139,
1,Initiate's Companion,Amonkhet,174,
1,Luxa River Shrine,Amonkhet,232,
2,Magma Spray,Amonkhet,141,
1,Minotaur Sureshot,Amonkhet,143,
1,Nest of Scarabs,Amonkhet,101,
1,Pitiless Vizier,Amonkhet,103,
1,Pouncing Cheetah,Amonkhet,179,
1,Quarry Hauler,Amonkhet,181,
1,Renewed Faith,Amonkhet,25,
1,Scaled Behemoth,Amonkhet,184,
1,Scarab Feast,Amonkhet,106,
1,Seeker of Insight,Amonkhet,69,
1,Seraph of the Suns,Amonkhet,28,
1,Tah-Crop Skirmisher,Amonkhet,72,
1,Throne of the God-Pharaoh,Amonkhet,237,
1,Unburden,Amonkhet,114,
1,Bladed Bracers,Avacyn Restored,213,
3,Borderland Ranger,Avacyn Restored,169,
1,Butcher Ghoul,Avacyn Restored,89,
1,Cathedral Sanctifier,Avacyn Restored,11,
1,Cloudshift,Avacyn Restored,12,
1,Demolish,Avacyn Restored,132,
1,Devout Chaplain,Avacyn Restored,17,
1,Diregraf Escort,Avacyn Restored,174,
1,Driver of the Dead,Avacyn Restored,99,
1,Falkenrath Exterminator,Avacyn Restored,134,
1,Gang of Devils,Avacyn Restored,136,
1,Geist Snatch,Avacyn Restored,55,
2,Geist Trappers,Avacyn Restored,179,
1,Goldnight Redeemer,Avacyn Restored,23,
1,Grounded,Avacyn Restored,181,
1,Gryff Vanguard,Avacyn Restored,59,
1,Haunted Guardian,Avacyn Restored,216,
1,Heirs of Stromkirk,Avacyn Restored,140,
1,Kruin Striker,Avacyn Restored,143,foil
1,Mist Raven,Avacyn Restored,67,
1,Natural End,Avacyn Restored,185,
1,Otherworld Atlas,Avacyn Restored,219,
1,Pathbreaker Wurm,Avacyn Restored,188,
2,Pillar of Flame,Avacyn Restored,149,
1,Rain of Thorns,Avacyn Restored,190,
1,Scrapskin Drake,Avacyn Restored,73,
1,Scroll of Avacyn,Avacyn Restored,220,
1,Seraph of Dawn,Avacyn Restored,35,
1,Seraph Sanctuary,Avacyn Restored,228,
1,Spectral Prison,Avacyn Restored,75,
1,Timberland Guide,Avacyn Restored,197,
1,Undead Executioner,Avacyn Restored,123,
1,Voice of the Provinces,Avacyn Restored,40,
1,Wildwood Geist,Avacyn Restored,204,
1,Archetype of Imagination,Commander 2018,81,
